NAME,B03002_012E,state,county,tract,YEAR
Census Tract 701.02; Cook County; Illinois,164,17,031,070102,2023
Census Tract 701.03; Cook County; Illinois,91,17,031,070103,2023
Census Tract 702; Cook County; Illinois,420,17,031,070200,2023
Census Tract 703; Cook County; Illinois,226,17,031,070300,2023
Census Tract 704; Cook County; Illinois,202,17,031,070400,2023
Census Tract 705; Cook County; Illinois,259,17,031,070500,2023
Census Tract 706; Cook County; Illinois,177,17,031,070600,2023
Census Tract 707; Cook County; Illinois,485,17,031,070700,2023
Census Tract 710; Cook County; Illinois,278,17,031,071000,2023
Census Tract 711; Cook County; Illinois,339,17,031,071100,2023
Census Tract 712; Cook County; Illinois,226,17,031,071200,2023
Census Tract 713; Cook County; Illinois,278,17,031,071300,2023
Census Tract 714; Cook County; Illinois,310,17,031,071400,2023
Census Tract 715; Cook County; Illinois,432,17,031,071500,2023
Census Tract 716; Cook County; Illinois,55,17,031,071600,2023
Census Tract 717; Cook County; Illinois,20,17,031,071700,2023
Census Tract 718; Cook County; Illinois,189,17,031,071800,2023
Census Tract 8325; Cook County; Illinois,326,17,031,832500,2023
Census Tract 8326; Cook County; Illinois,193,17,031,832600,2023
